Date Created,Year,MARYLAND,Allegany County,Anne Arundel County,Baltimore City,Baltimore County,Calvert County,Caroline County,Carroll County,Cecil County,Charles County,Dorchester County,Frederick County,Garrett County,Harford County,Howard County,Kent County,Montgomery County,Prince George's County,Queen Anne's County,Somerset County,St. Mary's County,Talbot County,Washington County,Wicomico County,Worcester County
2020-08-27T00:00:00.000,2012,19100,-397,2565,-347,3176,107,-341,-237,-165,462,-206,1266,-179,1105,3697,-231,6648,1189,218,-269,560,146,-40,167,206
2020-08-27T00:00:00.000,2013,10142,-144,2329,-3058,2615,425,-35,78,-44,1140,61,519,2,-292,2437,-99,2926,1633,3,-111,-201,47,-255,15,151
2020-08-27T00:00:00.000,2014,6647,-358,987,-1267,624,-180,-130,53,130,867,-88,1094,-297,-283,1482,62,1827,2305,197,-420,70,-281,-184,266,171
2020-08-27T00:00:00.000,2015,1645,-226,1189,-3652,673,-284,-6,-302,94,379,-65,642,-224,-551,2402,35,1112,-351,184,147,351,40,-164,112,110
2020-08-27T00:00:00.000,2016,-8296,-143,1434,-8430,-501,318,191,-230,-67,823,-110,973,-17,185,2193,71,-1477,-4233,16,147,121,-179,320,63,236
2020-08-27T00:00:00.000,2017,-1437,-399,1549,-7304,-1180,179,238,443,-236,1457,-68,2741,-74,1161,1939,-120,1075,-4486,479,97,212,29,510,-83,404
2020-08-27T00:00:00.000,2018,-8544,-167,1986,-8907,-2024,476,140,695,87,1343,-107,3396,-31,1581,1666,103,-4673,-5823,470,-218,-244,109,487,571,540
2020-08-27T00:00:00.000,2019,-8654,-290,1598,-9629,-1484,298,52,141,90,1108,27,3605,-32,1232,1489,132,-3724,-5439,166,71,348,251,372,371,593
2020-08-27T00:00:00.000,2001,30127,-296,2747,-11140,5364,1746,49,2235,1457,2547,76,3958,-121,1637,3400,188,7721,5202,441,361,423,318,719,203,892
2020-08-27T00:00:00.000,2002,32117,-248,2123,-9586,5404,2594,222,3585,1454,2291,-28,5027,142,3226,2089,215,5074,2542,1178,1611,282,339,1378,453,750
2020-08-27T00:00:00.000,2003,20753,-151,-1365,-7761,5263,2566,428,3157,1944,2493,148,2759,131,2697,1457,150,371,-231,1108,1784,75,334,1671,1128,597
2020-08-27T00:00:00.000,2004,11251,389,915,-10577,3922,1632,68,2261,1937,2365,391,2077,-123,2112,340,135,-2434,-1065,644,1757,231,668,2117,1113,376
2020-08-27T00:00:00.000,2005,8075,-285,-1326,-6399,1967,1064,662,1228,1570,1646,388,1605,-123,2275,498,228,-519,-2282,395,1220,-49,573,2232,1517,-10
2020-08-27T00:00:00.000,2006,-4956,19,-2812,-4687,1377,477,672,1184,1450,1253,205,1014,-30,1342,981,151,-2543,-10943,745,1126,270,499,1511,1429,354
2020-08-27T00:00:00.000,2007,-13841,440,-1585,-4561,-1221,178,405,108,257,207,414,1326,-6,-925,1274,110,-2194,-12164,712,855,377,116,1164,619,253
2020-08-27T00:00:00.000,2008,-10351,149,124,-5255,-1426,91,151,-179,125,-301,181,-29,39,-175,957,417,3663,-9872,488,443,-100,97,-20,90,-9
2020-08-27T00:00:00.000,2009,4204,231,2435,-5187,-898,287,-101,-183,168,-226,-114,-167,-115,-308,2519,22,9069,-3587,360,485,-138,81,-369,20,-80
2020-08-27T00:00:00.000,2010,7082,-109,2707,-4362,613,523,-50,183,12,1228,145,1566,-123,366,3233,125,9872,588,305,1683,58,278,191,20,13
2020-08-27T00:00:00.000,2011,21004,-185,2322,-3196,3978,58,-292,-323,93,1145,-31,1727,40,566,3064,109,8088,998,321,-159,965,139,721,685,171
2020-08-27T00:00:00.000,2012,19100,-397,2565,-347,3176,107,-341,-237,-165,462,-206,1266,-179,1105,3697,-231,6648,1189,218,-269,560,146,-40,167,206
2020-08-27T00:00:00.000,2013,10142,-144,2329,-3058,2615,425,-35,78,-44,1140,61,519,2,-292,2437,-99,2926,1633,3,-111,-201,47,-255,15,151
2020-08-27T00:00:00.000,2014,6647,-358,987,-1267,624,-180,-130,53,130,867,-88,1094,-297,-283,1482,62,1827,2305,197,-420,70,-281,-184,266,171
2020-08-27T00:00:00.000,2015,1645,-226,1189,-3652,673,-284,-6,-302,94,379,-65,642,-224,-551,2402,35,1112,-351,184,147,351,40,-164,112,110
2020-08-27T00:00:00.000,2016,-8296,-143,1434,-8430,-501,318,191,-230,-67,823,-110,973,-17,185,2193,71,-1477,-4233,16,147,121,-179,320,63,236
2020-08-27T00:00:00.000,2017,-1437,-399,1549,-7304,-1180,179,238,443,-236,1457,-68,2741,-74,1161,1939,-120,1075,-4486,479,97,212,29,510,-83,404
2020-08-27T00:00:00.000,2018,-8544,-167,1986,-8907,-2024,476,140,695,87,1343,-107,3396,-31,1581,1666,103,-4673,-5823,470,-218,-244,109,487,571,540
2020-08-27T00:00:00.000,2019,-8654,-290,1598,-9629,-1484,298,52,141,90,1108,27,3605,-32,1232,1489,132,-3724,-5439,166,71,348,251,372,371,593
2021-10-28T00:00:00.000,2020,-13301,-192,1096,-8629,-3009,357,-64,313,266,151,42,3582,-81,952,944,-59,-4385,-5955,522,-83,524,1,49,-133,490
2022-10-03T00:00:00.000,2021,-13033,233,595,-6108,-3059,1168,120,1333,265,1652,139,6759,122,1942,887,296,-10076,-13285,845,218,131,466,688,452,1184
2022-10-28T00:00:00.000,2020,-13301,-192,1096,-8629,-3009,357,-64,313,266,151,42,3582,-81,952,944,-59,-4385,-5955,522,-83,524,1,49,-133,490
2024-03-04T00:00:00.000,2021,-8659,222,862,-5931,-2589,1193,140,1367,350,1718,153,7067,130,1986,1023,313,-8961,-11890,881,87,225,499,727,517,1252
2024-03-04T00:00:00.000,2022,-21345,112,-532,-7151,-4427,257,38,1323,950,947,174,5758,5,656,-1248,218,-8285,-13181,774,150,-168,303,696,458,828
